,monkey,rt,coh,correct,trgchoice
506,2,0.8517327,0.4,0,2
507,2,0.5932779,0.8,1,1
508,2,1.0836591,0.4,0,1
509,2,0.6581163,0.6,1,2
510,2,0.3813581,0.7,1,1
511,2,0.5610961,0.6,1,1
512,2,0.7423092,0.3,0,1
513,2,0.9178578,0.3,0,2
514,2,1.2478112,0.5,0,1
515,2,0.3655765,0.3,0,2
516,2,0.5695695,0.2,0,2
517,2,0.4415579,0.8,1,1
518,2,1.193532,0.6,1,2
519,2,0.2816858,0.8,1,1
520,2,0.5722191,0.2,0,2
521,2,0.6197563,0.4,0,2
522,2,0.513194,0.8,1,1
523,2,0.2735656,0.6,1,1
524,2,0.4571965,0.4,0,2
525,2,0.2378425,0.5,0,1
526,2,0.3041901,0.7,1,1
527,2,0.4857611,0.5,0,1
528,2,0.3969759,0.7,1,1
529,2,0.5680356,0.3,0,2
530,2,0.9892598,0.7,1,1
531,2,1.4995894,0.2,0,2
532,2,0.459048,0.2,0,2
533,2,1.0090834,0.4,0,2
534,2,0.4738787,0.8,1,1
535,2,0.7116542,0.7,1,1
536,2,0.4448681,0.5,0,1
537,2,0.4755157,0.2,0,2
538,2,0.0211743,0.8,1,1
539,2,2.8853343,0.3,0,2
540,2,2.0532824,0.5,0,2
541,2,1.029703,0.7,1,1
542,2,0.577505,0.2,0,2
543,2,0.6141079,0.5,0,2
544,2,0.5481185,0.2,0,2
545,2,0.4712862,0.7,1,1
546,2,0.9296473,0.6,1,1
547,2,0.248047,0.7,1,1
548,2,0.343616,0.7,1,1
549,2,0.7252119,0.3,0,2
550,2,0.3454545,0.8,1,1
551,2,0.2994724,0.6,1,1
552,2,0.4934867,0.5,1,1
553,2,0.5318029,0.2,0,2
554,2,1.2487492,0.6,1,1
555,2,0.3932644,0.4,0,1
556,2,0.4298209,0.3,0,2
557,2,0.2778552,0.7,1,1
558,2,0.2614253,0.7,1,1
559,2,0.6694798,0.3,0,2
560,2,0.276182,0.6,1,1
561,2,0.4315035,0.3,0,2
562,2,0.2597891,0.8,1,1
563,2,0.4321576,0.5,1,2
564,2,0.4880932,0.5,1,1
565,2,0.4580044,0.4,0,2
566,2,0.2248536,0.8,1,1
567,2,0.5161999,0.2,0,2
568,2,0.451788,0.6,1,2
569,2,0.4551308,0.5,0,1
570,2,0.0900981,0.8,1,1
571,2,0.6778304,0.5,0,1
572,2,0.8339939,0.2,0,2
573,2,0.9816623,0.7,1,1
574,2,0.4837992,0.8,1,1
575,2,0.6137412,0.5,1,1
576,2,0.4742237,0.2,0,2
577,2,0.4675524,0.6,1,1
578,2,0.2816793,0.8,1,2
579,2,0.5924085,0.4,0,2
580,2,0.3595119,0.7,1,1
581,2,0.5127505,0.2,0,2
582,2,0.5595971,0.5,1,1
583,2,0.3801421,0.6,1,1
584,2,0.2582002,0.4,0,1
585,2,0.1867818,0.8,1,1
586,2,0.5195449,0.3,0,2
587,2,1.0629202,0.5,1,1
